iter	Passed	Remaining
827	669345	139042
828	670136	138230
829	670913	137415
830	671689	136601
831	672481	135789
832	673275	134978
833	674064	134166
834	674827	133349
835	675610	132535
836	676401	131724
837	677165	130907
838	677945	130094
839	678726	129281
840	679551	128476
841	680380	127672
842	681209	126868
843	681996	126056
844	682778	125243
845	683573	124433
846	684389	123626
847	685206	122820
848	686013	122011
849	686825	121204
850	687620	120394
851	688411	119583
852	689201	118772
853	690008	117963
854	690810	117155
855	691625	116348
856	692494	115550
857	693277	114738
858	694049	113924
859	694818	113110
860	695635	112303
861	696417	111491
862	697193	110678
863	697952	109862
864	698718	109048
865	699500	108236
866	700269	107423
867	701036	106609
868	701831	105799
869	702589	104984
870	703372	104173
871	704126	103358
872	704905	102546
873	705676	101733
874	706469	100924
875	707235	100111
876	707992	99296
877	708776	98486
878	709549	97674
879	710316	96861
880	711088	96049
881	711887	95241
882	712662	94429
883	713434	93618
884	714190	92804
885	714953	91991
886	715705	91177
887	716460	90364
888	717225	89552
889	718000	88741
890	718761	87929
891	719525	87117
892	720305	86307
893	721091	85498
894	721865	84688
895	722625	83876
896	723400	83066
897	724172	82255
898	724992	81450
899	725785	80642
900	726580	79835
901	727395	79029
902	728185	78221
903	728957	77411
904	729745	76603
905	730516	75793
906	731353	74989
907	732154	74183
908	732976	73378
909	733785	72572
910	734590	71765
911	735367	70956
912	736168	70149
913	736940	69340
914	737728	68532
915	738500	67722
916	739298	66915
917	740115	66110
918	740881	65300
919	741673	64493
920	742467	63686
921	743266	62879
922	744032	62069
923	744811	61261
924	745631	60456
925	746405	59647
926	747186	58839
927	747974	58032
928	748749	57224
929	749524	56415
930	750313	55608
931	751087	54800
932	751931	53997
933	752734	53191
934	753502	52382
935	754276	51574
936	755073	50767
937	755887	49962
938	756667	49155
939	757460	48348
940	758260	47542
941	759032	46734
942	759826	45928
943	760655	45123
944	761479	44318
945	762295	43513
946	763100	42707
947	763895	41901
948	764672	41094
949	765454	40287
950	766273	39482
951	767052	38674
952	767872	37869
953	768721	37066
954	769558	36261
955	770420	35458
956	771248	34653
957	772073	33848
958	772903	33043
959	773734	32238
960	774556	31433
961	775378	30628
962	776213	29823
963	777021	29017
964	777911	28214
965	778816	27411
966	779693	26607
967	780590	25804
968	781429	24999
969	782260	24193
970	783110	23388
971	783965	22583
972	784781	21777
973	785590	20970
974	786434	20164
975	787258	19358
976	788094	18552
977	788874	17745
978	789692	16939
979	790519	16133
980	791379	15327
981	792248	14521
982	793068	13715
983	793879	12908
984	794684	12101
985	795450	11294
986	796282	10488
987	797091	9681
988	797868	8874
989	798704	8067
990	799512	7260
991	800344	6454
992	801139	5647
993	801961	4840
994	802760	4033
995	803585	3227
996	804378	2420
997	805179	1613
998	806021	806
999	806916	0
